titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Magasinier,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Sécurité / Surveillance / Gardiennage,A discuter,2 000 - 3 000 DH,Pas important,,
vendeur/vendeuse,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,A discuter,Pas important,,
Cariste-Casablanca,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,Interim,A discuter,Niveau Bac,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Pas important,,
Assistant(e) de direction,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,2 000 - 3 000 DH,Bac plus 2,,
Assistant(e) de direction,Temara ,2 ans,Entreprise / Import / Export,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,6 mois,Commercial / Vente,CDI,A discuter,Bac plus 2,,
Technicien Réseaux Informatique,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Agent d'opération,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,8 000 - 10 000 DH,Bac plus 4,,
Barman,Casablanca ,Pas neccessaire,Autre,CDI,A discuter,Bac plus 2,,
fabrication mécanique/Mécanicien,Kénitra ,Pas neccessaire,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 2,,
Agent de sécurité,Mohammedia ,Deja Expérience/expérimentées/Premiere experiences ,Sécurité / Surveillance / Gardiennage,A discuter,A discuter,Niveau Bac,,
secrétaire,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,2 000 - 3 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,7 ans,Transport / Achat / Logistique,A discuter,A discuter,Bac plus 5,,
Caissier/Caissière,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Caissier/Caissière,Khouribga ,Pas neccessaire,Grande Distribution,A discuter,3 000 - 4 000 DH,Bac plus 2,,
Barman,Agadir ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Recrutement d'Animatrices d'Activités Parascolaire,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Rabat ,2 ans,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 3,,
IT,Casablanca ,2 ans,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 5,,
Développeur Web,Marrakech ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Pas important,,
Contrôleur,Temara ,Pas neccessaire,Autre,CDI,A discuter,Bac plus 2,,
TECHNICIEN DE LABORATOIRE / BOUSKOURA,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,CDI,A discuter,Bac plus 2,,
Front office/Back office/Office manager,Agadir ,Pas neccessaire,Grande Distribution,A discuter,A discuter,Bac plus 3,,
Econome,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Agent d'exploitation,Casablanca ,Pas neccessaire,Transport / Achat / Logistique,A discuter,2 000 - 3 000 DH,Pas important,,
Barman,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Chef de rang/ commis de rang,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,4 000 - 6 000 DH,Bac plus 2,,
Infographiste/web designer/Graphiste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Pas important,,
Technicien Réseaux Informatique,Meknès ,1 ans,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
Animation parc ,Rabat ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Assistante noutaire,Temara ,Pas neccessaire,Accueil / Secrétariat / Administration,Anapec,A discuter,Bac plus 2,,
CHEF DE CENTRE,Marrakech ,Pas neccessaire,Autre,A discuter,A discuter,Bac plus 5,,
Agent de sécurité,Casablanca ,2 ans,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 3,,
Technicien Réseaux Informatique,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
sushiman,Rabat ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Bac plus 3,,
CHEF POISSONNIER,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
livreur,Mohammedia ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Pas important,,
vendeur/vendeuse,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
vendeur/vendeuse,Marrakech ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Niveau Bac,,
Preparateur de commande,Casablanca ,Pas neccessaire,Grande Distribution,Interim,2 000 - 3 000 DH,Niveau Bac,,
RECHERCHE WEBMASTER ,Tanger ,Pas neccessaire,Marketing / Communication / Publicité / Rp,CDD,4 000 - 6 000 DH,Pas important,,
Agent d'accueil/Hotesse d'acceuil,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
enquêteur,Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Autre,CDI,A discuter,Pas important,,
Infographiste/web designer/Graphiste,Casablanca ,3 ans,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 3,,
secrétaire,Marrakech ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,A discuter,Pas important,,
DES HOTESSES,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Maitre(sse)/educatrice/Enseignante,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,CDI,4 000 - 6 000 DH,Bac plus 2,,
vendeur/vendeuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,A discuter,A discuter,Pas important,,
secrétaire,Tanger ,Pas neccessaire,Accueil / Secrétariat / Administration,CDD,4 000 - 6 000 DH,Pas important,,
Assistant(e) de gestion,Tout le Maroc / A distance ,Pas neccessaire,Transport / Achat / Logistique,A discuter,2 000 - 3 000 DH,Bac plus 2,,
Dessinateur/Projeteur/2D-3D,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Commercial / Vente,CDD,A discuter,Bac plus 3,,
kinésithérapeute ,Marrakech ,Pas neccessaire,Santé / Médical,CDI,A discuter,Bac plus 3,,
Employé ,Salé ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Pas important,,
fabrication mécanique/Mécanicien,Tanger ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Pas important,,
ESTHETICIENNE/ THERAPEUTE - Marrakech,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
Infographiste/web designer/Graphiste,Fès ,Pas neccessaire,Construction / Btp,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Contrôleur,Agadir ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,CDD,3 000 - 4 000 DH,Bac plus 2,,
Conducteur de Travaux,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDD,3 000 - 4 000 DH,Bac plus 2,,
Archiviste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Urbanisme / Architecture / Aménagement,CDI,A discuter,Bac plus 5,,
vendeur/vendeuse,Casablanca ,Pas neccessaire,Commercial / Vente,CDI,2 000 - 3 000 DH,Pas important,,
Responsable/Administrateur des ventes,Casablanca ,Pas neccessaire,Commercial / Vente,Interim,2 000 - 3 000 DH,Bac plus 2,,
RH/ assistant(e) RH,Rabat ,1 ans,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 5,,
cuisinier,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Anapec,2 000 - 3 000 DH,Bac plus 2,,
serveur/serveuse,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Anapec,2 000 - 3 000 DH,Bac plus 2,,
Marketing digital/Web-markteur,Tetouan ,2 ans,Automobile,CDI,A discuter,Bac plus 5,,
Acheteur/Responsable achat/Assistant(e) achat,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Autre,CDI,A discuter,Pas important,,
Dessinateur/Projeteur/2D-3D,Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,CDI,A discuter,Bac plus 2,,
Chauffeur,Bouznika ,Pas neccessaire,Services à La Personne,A discuter,2 000 - 3 000 DH,Pas important,,
Differents profils en Hotellerie - Marrakech-,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Commercial / Vente,CDI,A discuter,Bac plus 3,,
Assistant(e) de direction,Taza ,Pas neccessaire,Commercial / Vente,CDI,3 000 - 4 000 DH,Bac plus 2,,
serveur/serveuse,Tiznit ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Ingénieur Génie Civil/Technicien génie civile,Tout le Maroc / A distance ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 2,,
Acheteur/Responsable achat/Assistant(e) achat,Casablanca ,Pas neccessaire,Transport / Achat / Logistique,A discuter,A discuter,Pas important,,
Account Manager,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Casablanca ,5 ans,Autre,CDI,A discuter,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Marketing / Communication / Publicité / Rp,A discuter,3 000 - 4 000 DH,Bac plus 3,,
Technicien aluminium ,Marrakech ,3 ans,Médias / Art / Culture,A discuter,A discuter,Bac plus 2,,
Gérant,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 3,,
Agent d'exploitation,Casablanca ,Pas neccessaire,Transport / Achat / Logistique,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,3 ans,Marketing / Communication / Publicité / Rp,A discuter,3 000 - 4 000 DH,Bac plus 3,,
Profs de Maths/physique région de Tabriquet Salé ,Salé ,Pas neccessaire,Services aux Entreprises / Formation,A discuter,A discuter,Pas important,,
Expert en Stratégie de Développement,Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Pas important,,
Aide general(e),Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
Magasinier,Marrakech ,Pas neccessaire,Immobilier,A discuter,A discuter,Pas important,,
Infographiste/web designer/Graphiste,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,3 000 - 4 000 DH,Pas important,,
Assistant(e) de gestion,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Pas important,,
Délégué,Casablanca ,Pas neccessaire,Santé / Médical,CDI,Plus de 10 000 DH,Bac plus 4,,
Métreur,Rabat ,5 ans,Construction / Btp,CDI,A discuter,Bac plus 2,,
Technicien ou assistant installation interphones ,Tanger ,Pas neccessaire,Maintenance / Entretien,A discuter,3 000 - 4 000 DH,Pas important,,
Logistique et transport,Casablanca ,3 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Chef de chantier,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,2 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 5,,
Réceptionniste,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Coiffeuse,Casablanca ,Pas neccessaire,Mode / Luxe / Beauté,CDD,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Tetouan ,1 ans,Automobile,A discuter,A discuter,Bac plus 2,,
RESPONSABLE LOISIRS,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 4,,
INGENIERU PAYSAGISTE,El jadida ,10 ans,Construction / Btp,A discuter,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,6 000 - 8 000 DH,Bac plus 5,,
Technicien en Maintenance,Oujda ,2 ans,Maintenance / Entretien,CDI,A discuter,Bac plus 3,,
electricien/Chargé en Electricité,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Maintenance / Entretien,A discuter,A discuter,Bac plus 2,,
Technicien en Maintenance,Bouskoura ,2 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Bac plus 4,,
Déclarant en douane ,Tanger ,5 ans,Entreprise / Import / Export,CDI,A discuter,Bac plus 3,,
electricien/Chargé en Electricité,Casablanca ,Pas neccessaire,Autre,CDI,A discuter,Bac plus 5,,
Assistant(e) polyvalente ,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,3 000 - 4 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Meknès ,Pas neccessaire,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 2,,
Marketing digital/Web-markteur,Casablanca ,1 ans,Banque / Finance / Assurance,Interim,A discuter,Bac plus 2,,
RH/ assistant(e) RH,Tanger ,2 ans,Entreprise / Import / Export,CDI,4 000 - 6 000 DH,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Meknès ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 2,,
Barman,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,A discuter,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Meknès ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,3 000 - 4 000 DH,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Meknès ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,3 000 - 4 000 DH,Bac plus 3,,
Ingénieur d'état Géologue – Géotechnique -Hydrogéo,Temara ,4 ans,Construction / Btp,CDI,A discuter,Bac plus 4,,
Compatble/ assistant(e) comptable,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,CDI,6 000 - 8 000 DH,Bac plus 3,,
Assistant(e) administrative,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,CDD,3 000 - 4 000 DH,Bac plus 2,,
Voiturier Marrakech ,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Mode / Luxe / Beauté,A discuter,A discuter,Bac plus 2,,
Gestionnaire,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,CDI,3 000 - 4 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
electricien/Chargé en Electricité,Casablanca ,Pas neccessaire,Maintenance / Entretien,CDI,A discuter,Bac plus 2,,
assistant(e) standariste,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,2 000 - 3 000 DH,Bac plus 2,,
serveur/serveuse,El jadida ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Magasinier,Casablanca ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 2,,
Superviseur,Mohammedia ,5 ans,Construction / Btp,CDD,A discuter,Bac plus 3,,
electricien/Chargé en Electricité,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Assistante habite à Tabriquet Salé ,Salé ,Pas neccessaire,Services aux Entreprises / Formation,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Chef de partie,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
Dessinateur/Projeteur/2D-3D,Casablanca ,3 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 3,,
Agent HOUSKEEPING,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Assistant(e) de gestion,Casablanca ,5 ans,Automobile,CDI,A discuter,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Contrôleur,Casablanca ,Pas neccessaire,Autre,CDI,4 000 - 6 000 DH,Bac plus 5,,
Compatble/ assistant(e) comptable,Rabat ,1 ans,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
femme de ménage,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,2 000 - 3 000 DH,Pas important,,
femme de ménage,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Niveau Bac,,
Responsable qualité/Ingénieur de Qualité,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
Réceptionniste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,3 000 - 4 000 DH,Pas important,,
serveur/serveuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Déclarant en douane ,Casablanca ,4 ans,Entreprise / Import / Export,CDI,A discuter,Bac plus 2,,
chargés de recouvrement,Casablanca ,3 ans,Droit / Justice / Association,CDI,A discuter,Bac plus 2,,
vendeur/vendeuse,Meknès ,Pas neccessaire,Grande Distribution,CDI,A discuter,Bac plus 2,,
Audite,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
Réceptionniste,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,A discuter,Bac plus 2,,
Technicien Réseaux Informatique,Oujda ,Pas neccessaire,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 2,,
Responsable/Administrateur des ventes,Casablanca ,Pas neccessaire,Grande Distribution,CDI,A discuter,Bac plus 5,,
Lavage,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,A discuter,3 000 - 4 000 DH,Bac plus 2,,
Peintre,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,Interim,3 000 - 4 000 DH,Niveau Bac,,
cuisinier,Deroua ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
Merchandiser,Casablanca ,Pas neccessaire,Entreprise / Import / Export,CDI,A discuter,Bac plus 3,,
CHEF STEWARD - Marrakech,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,5 ans,Commercial / Vente,CDI,A discuter,Bac plus 5,,
chargé portefeuille,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Agent comptoir,Khemisset ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,A discuter,A discuter,Bac plus 2,,
chargé portefeuille,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
chargé portefeuille,Salé ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
pharmacienne,Casablanca ,Pas neccessaire,Santé / Médical,CDI,3 000 - 4 000 DH,Bac plus 2,,
Infographiste/web designer/Graphiste,Tout le Maroc / A distance ,Pas neccessaire,Autre,A discuter,3 000 - 4 000 DH,Pas important,,
chargé portefeuille,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
chargé portefeuille,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Responsable centre de beauté,Casablanca ,2 ans,Mode / Luxe / Beauté,A discuter,A discuter,Bac plus 2,,
Réceptionniste,Fès ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Interim,2 000 - 3 000 DH,Pas important,,
Animateur,El jadida ,Pas neccessaire,Industrie / Ingénierie / Energie,CDD,3 000 - 4 000 DH,Bac plus 3,,
livreur,Rabat ,Pas neccessaire,Autre,A discuter,A discuter,Pas important,,
Infographiste/web designer/Graphiste,Kénitra ,Pas neccessaire,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
Assistante notaire ,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,A discuter,Pas important,,
Coiffeuse,Casablanca ,Pas neccessaire,Mode / Luxe / Beauté,A discuter,A discuter,Pas important,,
Planificateur/Ingénieur planification ,Casablanca ,Pas neccessaire,Construction / Btp,CDI,Plus de 10 000 DH,Bac plus 5,,
Coordinateur pédagogique/Business,Marrakech ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Kénitra ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,A discuter,Pas important,,
Chauffeur,Casablanca ,Pas neccessaire,Autre,Interim,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Rabat ,Pas neccessaire,Autre,Interim,A discuter,Bac plus 2,,
Agent d'accueil/Hotesse d'acceuil,Casablanca ,Pas neccessaire,Automobile,Interim,3 000 - 4 000 DH,Bac plus 2,,
Auxiliaire de vie,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Santé / Médical,A discuter,A discuter,Bac plus 2,,
RH/ assistant(e) RH,Casablanca ,Pas neccessaire,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 3,,
Gestionnaire,Casablanca ,6 mois,Automobile,CDD,2 000 - 3 000 DH,Bac plus 2,,
Agent de sécurité,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Sécurité / Surveillance / Gardiennage,CDI,2 000 - 3 000 DH,Niveau Bac,,
Infographiste/web designer/Graphiste,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 3,,
Technicien méthode,Agadir ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,3 000 - 4 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,Commission,Pas important,,
Responsable/Administrateur des ventes,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,2 000 - 3 000 DH,Bac plus 2,,
Assistant chinois,Settat ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,CDD,A discuter,Bac plus 3,,
serveur/serveuse,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,2 000 - 3 000 DH,Niveau Bac,,
Maitre(sse)/educatrice/Enseignante,Bouskoura ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
cuisinier,Salé ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Pas important,,
Maitre(sse)/educatrice/Enseignante,Bouskoura ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,2 ans,Informatique / Multimédia / Internet,A discuter,Commission,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,Stage,2 000 - 3 000 DH,Bac plus 2,,
Développeur Web,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,CDD,4 000 - 6 000 DH,Bac plus 3,,
Community manager,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Pas important,,
serveur/serveuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Chauffeur,Casablanca ,Pas neccessaire,Grande Distribution,A discuter,A discuter,Pas important,,
femme de ménage,Salé ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Coordinateur pédagogique/Business,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Pas important,,
Maitre(sse)/educatrice/Enseignante,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Niveau Bac,,
femme de ménage,Casablanca ,Pas neccessaire,Autre,A discuter,2 000 - 3 000 DH,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Tanger ,Pas neccessaire,Mode / Luxe / Beauté,CDI,3 000 - 4 000 DH,Bac plus 2,,
Gestionnaire,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,2 000 - 3 000 DH,Bac plus 2,,
IT,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 5,,
Model,Casablanca ,Pas neccessaire,Mode / Luxe / Beauté,A discuter,A discuter,Bac plus 2,,
